;question;selections;options;source;value_us;value_uk;index_us;index_uk;answer_us;answer_uk;category;# of options;question type
722;How much respect is there for individual human rights nowadays in this country?;'United States': [0.107, 0.454, 0.36700000000000005, 0.061, 0.0, 0.011000000000000001, 0.0], 'Great Britain': [0.19, 0.5760000000000001, 0.19, 0.032, 0.009000000000000001, 0.0, 0.003];"['A great deal of respect', 'Fairly much respect', 'Not much respect', 'No respect at all', ""Don't know"", 'No answer', 'Missing; Not available']";WVS;454.0;0.5760000000000001;1;1;Fairly much respect;Fairly much respect;A. Social values and attitudes;7;Likert Scale
723;"Now I'd like you to look at this card. I'm going to read out some different forms of political action that people can take, and I'd like you to tell me, for each one, whether you have actually done any of these things, whether you might do it or would never, under any circumstances, do it.

Signing a petition";'United States': [0.5970000000000001, 0.309, 0.084, 0.001, 0.009000000000000001, 0.0], 'Great Britain': [0.7290000000000001, 0.20199999999999999, 0.066, 0.002, 0.0, 0.001];"['Have done', 'Might do', 'Would never do', ""Don't know"", 'No answer', 'Other missing; Multiple answers Mail (EVS)']";WVS;0.5970000000000001;0.7290000000000001;0;0;Have done;Have done;D. Politics and policy;6;Likert Scale
724;"What about these forms of political action and social activism that people can take?. Please, tell me for each of them if you have done any of these things, whether you might do it or would never under any circumstances do it:

Encouraging others to vote";'United States': [0.632, 0.24600000000000002, 0.106, 0.001, 0.015, 0.0], 'Great Britain': [0.529, 0.268, 0.198, 0.004, 0.0, 0.002];"['Have done', 'Might do', 'Would never do', ""Don't know"", 'No answer', 'Missing; Not available']";WVS;632.0;529.0;0;0;Have done;Have done;D. Politics and policy;6;Likert Scale
725;"Please tell me for each of the following statements whether you think it can always be justified, never be justified, or something in between, using this card.

Terrorism as a political, ideological or religious mean";'United States': [0.8240000000000001, 0.053, 0.027000000000000003, 0.012, 0.034, 0.013999999999999999, 0.009000000000000001, 0.005, 0.002, 0.011000000000000001, 0.0, 0.009000000000000001, 0.0], 'Great Britain': [0.904, 0.037000000000000005, 0.018000000000000002, 0.009000000000000001, 0.02, 0.002, 0.002, 0.001, 0.0, 0.002, 0.003, 0.001, 0.003];"['Never justifiable', '2', '3', '4', '5', '6', '7', '8', '9', 'Always justifiable', ""Don't know"", 'No answer', 'Missing; Not available']";WVS;0.8240000000000001;904.0;0;0;Never justifiable;Never justifiable;D. Politics and policy;13;Likert Scale
726;"In your view, how often do the following things occur in this country’s elections?

Rich people buy elections";'United States': [0.251, 0.383, 0.255, 0.08, 0.002, 0.028999999999999998, 0.0], 'Great Britain': [0.111, 0.262, 0.331, 0.20800000000000002, 0.083, 0.001, 0.004];"['Very often', 'Fairly often', 'Not often', 'Not at all often', ""Don't know"", 'No answer', 'Other missing; Multiple answers Mail (EVS)']";WVS;383.0;331.0;1;2;Fairly often;Not often;D. Politics and policy;7;Likert Scale
727;"Among the following groups of people, how many do you believe are involved in corruption? Tell me for each group if you believe it is none of them, few of them, most of them or all of them?:

Journalists and media";'United States': [0.047, 0.55, 0.303, 0.087, 0.001, 0.013000000000000001, 0.0], 'Great Britain': [0.032, 0.454, 0.35700000000000004, 0.129, 0.02, 0.001, 0.006];"['None of them', 'Few of them', 'Most of them', 'All of them', ""Don't know"", 'No answer', 'Missing; Not available']";WVS;0.55;454.0;1;1;Few of them;Few of them;D. Politics and policy;7;Likert Scale
728;"I am going to name a number of organizations. For each one, could you tell me how much confidence you have in them: is it a great deal of confidence, quite a lot of confidence, not very much confidence or none at all?

The Churches (mosque, temple etc.)";'United States': [0.13, 0.401, 0.34500000000000003, 0.11199999999999999, 0.002, 0.01, 0.0], 'Great Britain': [0.094, 0.27399999999999997, 0.434, 0.17300000000000001, 0.021, 0.002, 0.002];"['A great deal', 'Quite a lot', 'Not very much', 'None at all', ""Don't know"", 'No answer', 'Other missing; Multiple answers Mail (EVS)']";WVS;401.0;434.0;1;2;Quite a lot;Not very much;B. Religion and spirituality;7;Likert Scale
729;How high is the risk in this country to be held accountable for giving or receiving a bribe, gift or favour in return for public service? To indicate your opinion, use a 10-point scale where “1” means “no risk at all” and “10” means “very high risk”.;'United States': [0.03, 0.05, 0.11, 0.10400000000000001, 0.21600000000000003, 0.11900000000000001, 0.136, 0.102, 0.031000000000000003, 0.094, 0.001, 0.008, 0.0], 'Great Britain': [0.040999999999999995, 0.065, 0.11699999999999999, 0.111, 0.18600000000000003, 0.10099999999999999, 0.114, 0.109, 0.043, 0.073, 0.035, 0.002, 0.003];"['No risk at all', '2', '3', '4', '5', '6', '7', '8', '9', 'Very high risk', ""Don't know"", 'No answer', 'Missing; Not available']";WVS;216.0;186.0;4;4;5;5;D. Politics and policy;13;Numerical Scale
730;"Among the following groups of people, how many do you believe are involved in corruption?. Tell me for each group if you believe it is none of them, few of them, most of them or all of them?:

State authorities";'United States': [0.026000000000000002, 0.5970000000000001, 0.31, 0.055, 0.002, 0.01, 0.0], 'Great Britain': [0.039, 0.544, 0.311, 0.08199999999999999, 0.017, 0.001, 0.005];"['None of them', 'Few of them', 'Most of them', 'All of them', ""Don't know"", 'No answer', 'Missing; Not available']";WVS;0.5970000000000001;544.0;1;1;Few of them;Few of them;D. Politics and policy;7;Likert Scale
731;"Please tell me for each of the following statements whether you think it can always be justified, never be justified, or something in between, using this card.

Claiming government benefits to which you are not entitled";'United States': [0.525, 0.129, 0.07, 0.045, 0.10099999999999999, 0.037000000000000005, 0.021, 0.015, 0.012, 0.03, 0.001, 0.013000000000000001, 0.0], 'Great Britain': [0.6890000000000001, 0.109, 0.07, 0.028999999999999998, 0.05, 0.015, 0.012, 0.008, 0.002, 0.008, 0.003, 0.001, 0.004];"['Never justifiable', '2', '3', '4', '5', '6', '7', '8', '9', 'Always justifiable', ""Don't know"", 'No answer', 'Other missing; Multiple answers Mail (EVS)']";WVS;525.0;0.6890000000000001;0;0;Never justifiable;Never justifiable;D. Politics and policy;13;Likert Scale
732;"I am going to name a number of organizations. For each one, could you tell me how much confidence you have in them: is it a great deal of confidence, quite a lot of confidence, not very much confidence or none at all?

The Civil Services";'United States': [0.043, 0.36600000000000005, 0.461, 0.105, 0.002, 0.023, 0.0], 'Great Britain': [0.07400000000000001, 0.43200000000000005, 0.38, 0.07200000000000001, 0.040999999999999995, 0.001, 0.002];"['A great deal', 'Quite a lot', 'Not very much', 'None at all', ""Don't know"", 'No answer', 'Other missing; Multiple answers Mail (EVS)']";WVS;461.0;432.0;2;1;Not very much;Quite a lot;D. Politics and policy;7;Likert Scale
733;"I ‘d like to ask you how much you trust people from various groups. Could you tell me for each whether you trust people from this group completely, somewhat, not very much or not at all?

People of another religion";'United States': [0.081, 0.6609999999999999, 0.204, 0.044000000000000004, 0.001, 0.009000000000000001, 0.0], 'Great Britain': [0.12400000000000001, 0.6809999999999999, 0.127, 0.025, 0.038, 0.005, 0.001];"['Trust completely', 'Trust somewhat', 'Do not trust very much', 'Do not trust at all', ""Don't know"", 'No answer', 'Other missing; Multiple answers Mail (EVS)']";WVS;0.6609999999999999;0.6809999999999999;1;1;Trust somewhat;Trust somewhat;B. Religion and spirituality;7;Likert Scale
734;"Here is a list of qualities that children can be encouraged to learn at home. Which, if any, do you consider to be especially important? Please choose up to five.

Good manners";'United States': [0.48200000000000004, 0.517, 0.0, 0.001, 0.0], 'Great Britain': [0.135, 0.8570000000000001, 0.001, 0.0, 0.006999999999999999];"['Not mentioned', 'Important', ""Don't know"", 'No answer', 'Other missing; Multiple answers Mail (EVS)']";WVS;517.0;0.8570000000000001;1;1;Important;Important;A. Social values and attitudes;5;Multiple Choice
735;"How frequently do the following things occur in your neighborhood?

Police or military interfere with people’s private life";'United States': [0.027999999999999997, 0.08900000000000001, 0.376, 0.49600000000000005, 0.002, 0.009000000000000001, 0.0], 'Great Britain': [0.013000000000000001, 0.045, 0.342, 0.5820000000000001, 0.013999999999999999, 0.0, 0.004];"['Very Frequently', 'Quite frequently', 'Not frequently', 'Not at all frequently', ""Don't know"", 'No answer', 'Missing; Not available']";WVS;496.0;0.5820000000000001;3;3;Not at all frequently;Not at all frequently;D. Politics and policy;7;Likert Scale
736;"Please tell me for each of the following things how essential you think it is as a characteristic of democracy. Use this scale where 1 means “not at all an essential characteristic of democracy” and 10 means it definitely is “an essential characteristic of democracy

People receive state aid for unemployment";'United States': [0.0, 0.08199999999999999, 0.04, 0.07, 0.077, 0.231, 0.096, 0.11199999999999999, 0.10300000000000001, 0.042, 0.12, 0.002, 0.026000000000000002, 0.0], 'Great Britain': [0.0, 0.034, 0.02, 0.049, 0.046, 0.155, 0.096, 0.146, 0.172, 0.071, 0.18100000000000002, 0.021, 0.001, 0.006999999999999999];"['It is against democracy (spontaneous)', 'Not an essential characteristic of democracy', '2', '3', '4', '5', '6', '7', '8', '9', 'An essential characteristic of democracy', ""Don't know"", 'No answer', 'Other missing; Multiple answers Mail (EVS)']";WVS;231.0;181.0;5;10;5;An essential characteristic of democracy;D. Politics and policy;14;Likert Scale
737;"I'm going to read out a list of various changes in our way of life that might take place in the near future. Please tell me for each one, if it were to happen, whether you think it would be a good thing, a bad thing, or don't you mind?

Greater respect for authority";'United States': [0.585, 0.299, 0.107, 0.001, 0.006999999999999999, 0.0], 'Great Britain': [0.6070000000000001, 0.269, 0.111, 0.009000000000000001, 0.002, 0.002];"['Good thing', ""Don't mind"", 'Bad thing', ""Don't know"", 'No answer', 'Other missing; Multiple answers Mail (EVS)']";WVS;585.0;0.6070000000000001;0;0;Good thing;Good thing;A. Social values and attitudes;6;Likert Scale
738;"On this list are various groups of people. Could you please mention any that you would not like to have as neighbors?

People of a different religion";'United States': [0.026000000000000002, 0.912, 0.036000000000000004, 0.026000000000000002, 0.0], 'Great Britain': [0.013000000000000001, 0.978, 0.005, 0.003, 0.001];"['Mentioned', 'Not mentioned', ""Don't know"", 'No answer', 'Missing; Not available']";WVS;912.0;978.0;1;1;Not mentioned;Not mentioned;E. Demographics;5;Binary Choice
739;"What about these forms of political action and social activism that people can take?. Please, tell me for each of them if you have done any of these things, whether you might do it or would never under any circumstances do it:

Contacting a government official";'United States': [0.379, 0.44, 0.167, 0.001, 0.013000000000000001, 0.0], 'Great Britain': [0.348, 0.465, 0.18100000000000002, 0.003, 0.0, 0.002];"['Have done', 'Might do', 'Would never do', ""Don't know"", 'No answer', 'Missing; Not available']";WVS;0.44;465.0;1;1;Might do;Might do;D. Politics and policy;6;Likert Scale
740;"I'm going to describe various types of political systems and ask what you think about each as a way of governing this country. For each one, would you say it is a very good, fairly good, fairly bad or very bad way of governing this country?

Having the army rule";'United States': [0.036000000000000004, 0.167, 0.287, 0.48, 0.003, 0.027000000000000003, 0.0], 'Great Britain': [0.027000000000000003, 0.106, 0.25, 0.5920000000000001, 0.021, 0.0, 0.003];"['Very good', 'Fairly good', 'Fairly bad', 'Very bad', ""Don't know"", 'No answer', 'Other missing; Multiple answers Mail (EVS)']";WVS;0.48;0.5920000000000001;3;3;Very bad;Very bad;D. Politics and policy;7;Likert Scale
741;"Do you agree or disagree with the following statements?

People who don’t work turn lazy";'United States': [0.128, 0.311, 0.299, 0.197, 0.053, 0.0, 0.011000000000000001, 0.0], 'Great Britain': [0.092, 0.312, 0.233, 0.28800000000000003, 0.07, 0.005, 0.001, 0.0];"['Strongly agree', 'Agree', 'Neither agree or disagree', 'Disagree', 'Strongly disagree', ""Don't know"", 'No answer', 'Other missing; Multiple answers Mail (EVS)']";WVS;311.0;312.0;1;1;Agree;Agree;N. Economy and work;8;Likert Scale
742;"On this list are various groups of people. Could you please mention any that you would not like to have as neighbors?

People who have AIDS";'United States': [0.12300000000000001, 0.8150000000000001, 0.036000000000000004, 0.026000000000000002, 0.0], 'Great Britain': [0.042, 0.9490000000000001, 0.005, 0.003, 0.001];"['Mentioned', 'Not mentioned', ""Don't know"", 'No answer', 'Missing; Not available']";WVS;0.8150000000000001;949.0;1;1;Not mentioned;Not mentioned;L. Family and relationships;5;Binary Choice
